Elapsed time (s),Therm 1 Temp (C),Therm 2 Temp (C),Battery Voltage (V),Payload Current (A),Sun Angle (degrees)
27.856,29.556,27.139,8.188,1.235,0
28.193,29.468,27.139,8.198,1.225,-352.8
28.39,28.857,27.311,8.198,1.245,0
28.616,30.265,27.139,8.198,1.245,7.2
28.842,29.468,27.139,8.397,1.434,14.4
29.042,29.468,27.139,8.188,1.245,21.6
31.111,29.468,27.054,8.198,1.245,28.8
31.333,29.468,26.968,8.198,1.245,0
31.558,29.468,26.968,8.397,1.444,7.2
31.78,29.468,26.968,8.188,1.255,14.4
32.004,29.468,26.968,8.188,1.255,21.6
32.225,29.468,26.968,8.188,1.424,28.8
32.451,29.468,26.968,8.278,1.325,36
32.671,30.265,26.968,8.188,1.245,43.2
32.895,29.468,26.968,8.198,1.245,50.4
33.139,29.468,27.054,8.188,1.245,57.6
33.364,29.468,26.968,8.188,1.225,64.8
33.568,29.468,26.968,8.188,1.245,72
33.699,29.468,27.655,8.188,1.255,79.2
33.906,29.468,26.968,8.188,1.245,79.2
34.131,29.468,26.968,8.188,1.096,86.4
34.256,29.468,26.968,8.278,1.325,93.6
34.337,28.857,27.225,8.178,1.245,93.6
34.442,29.468,26.968,8.188,1.245,93.6
34.543,29.468,27.054,8.019,1.076,93.6
34.652,29.468,27.054,8.188,1.096,93.6
34.747,29.468,27.054,8.178,1.245,93.6
34.861,29.468,27.655,8.188,1.245,93.6
34.962,29.468,27.054,8.606,1.654,93.6
35.184,29.468,27.054,8.188,1.255,93.6
35.405,28.857,26.968,8.198,1.235,86.4
35.629,29.468,26.968,8.278,1.315,79.2
35.854,29.468,26.968,8.208,1.225,72
36.077,29.468,27.569,8.208,1.235,64.8
36.3,29.468,27.054,8.208,1.235,57.6
36.522,29.468,27.054,8.198,1.255,64.8
36.749,28.857,27.054,8.208,1.235,57.6
36.971,29.468,27.054,8.188,1.255,64.8
37.214,29.468,27.569,8.178,1.255,72
37.44,29.468,27.054,8.397,1.444,79.2
37.662,29.468,27.569,8.188,1.245,86.4
37.887,29.468,27.054,8.188,1.096,93.6
37.994,29.468,27.054,8.188,1.225,100.8
38.106,30.265,27.054,8.198,1.255,100.8
38.201,29.468,27.054,8.178,1.255,100.8
38.554,29.468,27.054,8.606,1.654,100.8
39.146,29.468,27.054,8.178,1.255,0
39.355,29.468,27.054,8.188,1.255,0
39.581,30.265,26.968,8.188,1.255,0
39.806,28.857,27.397,8.208,1.096,-7.2
40.011,29.468,27.139,8.198,1.195,-14.4
40.364,29.468,27.139,8.606,1.624,-21.6
40.587,29.733,27.139,8.188,1.255,0
40.812,29.468,27.139,8.198,1.235,-7.2
41.037,29.468,27.139,8.198,1.245,-14.4
41.262,29.468,27.139,8.208,1.245,-21.6
41.483,29.468,27.139,8.198,1.096,-28.8
41.704,30.176,27.139,8.198,1.225,-36
41.929,29.468,27.139,8.198,1.385,-43.2
42.153,29.468,27.569,8.198,1.235,-50.4
42.398,29.468,27.139,8.188,1.185,-57.6
42.491,30.176,27.139,8.198,1.235,-64.8
42.617,29.468,27.139,8.188,1.235,-64.8
42.711,29.468,27.139,8.198,1.225,-64.8
42.824,29.468,27.139,8.218,1.245,-64.8
42.92,29.468,27.139,8.636,1.663,-64.8
43.017,29.468,27.139,8.427,1.454,-64.8
43.125,29.468,27.139,8.198,1.245,-64.8
43.245,29.468,27.139,8.198,1.215,-64.8
43.333,29.468,27.139,8.198,1.225,-64.8
43.463,29.468,27.139,8.198,1.116,-64.8
43.549,29.998,27.139,8.188,1.235,-64.8
43.672,29.468,27.139,8.198,1.096,-64.8
43.766,29.468,27.139,8.636,1.663,-64.8
43.867,29.468,27.139,8.636,1.663,-64.8
43.992,29.468,27.139,8.188,1.235,-64.8
44.088,29.468,27.139,8.248,1.275,-64.8
44.199,29.468,27.139,8.278,1.305,-64.8
44.293,29.468,27.139,8.636,1.663,-64.8
44.523,29.468,27.139,8.188,1.215,-64.8
44.749,30.265,27.139,8.178,1.265,-57.6
44.967,29.468,27.139,8.178,1.265,-50.4
45.192,29.031,26.712,8.198,1.235,-57.6
45.433,29.468,27.225,8.178,1.235,-50.4
49.928,29.468,27.225,8.178,1.245,-43.2
50.156,29.381,27.139,8.407,1.474,0
50.376,29.381,27.139,8.168,1.245,7.2
50.599,29.381,27.139,8.168,1.265,14.4
50.824,29.381,27.139,8.168,1.106,21.6
51.042,29.381,26.627,8.178,1.265,28.8
51.266,29.381,27.742,8.178,1.265,36
51.489,29.381,26.968,8.178,1.265,43.2
51.712,29.381,27.139,8.168,1.245,50.4
51.938,29.381,27.139,8.168,1.106,57.6
52.183,29.381,27.139,8.606,1.683,64.8
52.406,29.381,27.139,8.158,1.255,72
52.63,29.381,27.139,8.158,1.255,79.2
52.852,29.381,27.139,8.178,1.255,86.4
53.077,30.176,26.542,8.168,1.255,93.6
53.184,29.381,27.139,8.188,1.424,86.4
53.392,29.381,27.139,8.178,1.235,86.4
53.618,29.381,27.139,8.178,1.265,93.6
53.972,29.381,27.569,8.158,1.255,100.8
54.062,29.381,27.569,8.168,1.255,0
54.176,29.381,27.225,8.686,1.763,0
